Name,total_yield
A97066-42,13.1
ACBrador,15.56
AdirondackBlue,11.77
AF2291-10,13.43
AF2376-5,12.58
AF2574-1,15.04
AllBlue,12.56
AlpineRusset,12.29
Alturas,11.94
Andover,11.94
AO96141-3,14.09
AO96160-3,11.53
AO96164-1,13.05
Atlantic,12.51
AWN86514-2,11.64
B1829-5,12.72
BannockRusset,14.2
BeaconChipper,13.55
Bintje,11.62
BlazerRusset,13.15
Boulder,15.58
C31-5-115,9.7
C31-5-120,7.95
C5,9.39
CanelaRusset,11.69
Cascade,15.28
CentennialRusset,9.41
Chieftain,12.89
Chipeta,14.71
Chippewa,11.12
ClassicRusset,13.04
ClearwaterRusset,11.88
CV96022-3,10.64
CV98112-3,9.32
DakotaCrisp,14.97
DakotaDiamond,15.9
DakotaJewel,6.85
DakotaPearl,11.59
DarkRedNorland,9.97
Defender,13.64
Denali,11.85
EarlyRose,9.46
Elba,15.3
Eramosa,8.87
Eva,13.27
Exploits,12.93
F02018,12.82
F58050,9.67
F66041,9.32
F87084,15.21
FreedomRusset,13.9
GarnetChile,6.62
GemStarRusset,9.8
GrandFalls,11.77
GreenMountain,11.91
HighlandRusset,13.39
Hindenburg,8.75
IdaRose,13.41
IncaGold,6.36
IrishCobbler,9.04
IvoryCrisp,13.47
JacquelineLee,13.96
Kalkaska,13.69
Katahdin,14.12
Kennebec,14.46
KeukaGold,11.54
KingHarry(NY131),14.81
KlamathRusset,10.42
LaChipper,7.72
Lamoka(NY139),10.97
Langlade,16.38
Lehigh,10.38
Lelah(W2717-5),11.38
Liberator,11.6
MaineChip,6.3
Marcy,10.86
MegaChip(W1201),14.21
MichiganPurple,13.61
Missaukee(MSJ461-1),14.46
MN02419,13.64
MN02467,11.92
MN02586,13.38
MN15620,12.28
MN18747,10.69
MN19298,8.16
MN19350,9.53
MN19470,15.01
MN96072-4,9.62
MN99380-1,12.47
Modoc,11.61
Monona,11.56
Monticello,12.36
MountainRose,9.99
MSG227-2,9.88
MSH228-6,13.86
MSI005-20Y,16.44
MSJ126-9Y,9.89
MSJ147-1,10.4
MSK061-4,13.69
MSK409-1,12.76
MSL211-3,13.25
MSL268-D,15.19
MSL292-A,11.41
MSL512-6,7.3
MSL766-1,10.98
MSM051-3,11.17
MSM171-A,12.11
MSM182-1,13.28
MSM246-B,12.23
MSN105-1,12.35
MSN191-2Y,11.33
MSN215-2P,6.98
MSP239-1,11.67
MSQ070-1,12.86
MSQ176-5,13.7
MSQ279-1,13.38
MSR061-1,13.43
MSR160-2Y,11.59
MWTX2609-2RU,14.43
ND1215-1,11.93
ND2858-1,7.25
ND8229-3,10.45
ND8555-8R,9.52
ND860-2,9.64
Nicolet(W2133-1),11.08
Norchip,11.5
NorDonna,11.14
Northstar,10.8
NorValley,11.81
Norwis(FL657),13.64
NY115,10.22
NY121,11.91
NY136,14.93
NY140,15.56
NY142,8.14
NYE48-2,13.41
Ontario,12.57
OR00002-7,14.93
OR00068-11,14.61
PA99N82-4,8.38
Patagonia,10.13
PeterWilcox,11.88
Pike,12.34
POR01PG1-6,10.46
POR02PG37-2,11.55
PremierRusset,10.52
PrinceHairy(NY235-4),17.24
PurpleMajesty,14.24
PurplePeruvian,5.6
RangerRusset,8.2
Reba,14
RedMaria(NY129),14.5
ReevesKingpin,10.43
Rideau,14.04
RioGrandeRusset,13.71
RochdaleGold-Doree,10.51
Rosa,16.63
RussetBurbank,7.18
RussetNorkotah-S3,11.38
RussetNorkotah-S8,11.13
Salem,10.19
Satina,14.63
Sebago,13.61
SierraGold,10.55
SilvertonRusset,11.61
Snowden,14.24
Superior,12.63
TrailBlazerRusset(ROND95249-Russ),11.73
Tundra(W2310-3),12.53
UmatillaRusset,14.54
V1102-1,13.72
V1115-3,11.9
VillettaRose,12.51
W1151rus,12
W2253-5rus,8.78
W2309-7,10.34
W2683-2rus,11.99
W4013-1,9.17
WallowaRusset,8.76
Waneta(NY138),7.88
WesternRusset,13.28
WhitePearl,13.73
Willamette,9.07
Winema,8.19
YankeeChipper,10.34
YukonGem,14.92
YukonGold,9.08
