Stub,LBlight
stub-1153,10.8625
stub-1172,6.078125
stub-1179,2.821875
stub-1183,17.2088541675
stub-1188,21.8369791675
stub-1189,20.990625
stub-1207,5.88385416675
stub-1212,9.270833333
stub-1214,2.18333333325
stub-1225,2.3828125
stub-1235,13.6723958325
stub-1239,5.26145833325
stub-1242,20.5140625
stub-1253,20.1140625
stub-1260,11
stub-1264,3.55520833325
stub-1265,12.3958333325
stub-1273,19.9796875
stub-1280,3.18020833325
stub-1319,7.6890625
stub-1325,2.98854166675
stub-1328,9.8125
stub-1330,14.3901041675
stub-1338,8.66770833325
stub-1424,13.79166667
stub-2108,20.7
stub-2114,21.1666666666667
stub-2119,32
stub-2135,26.0666666666667
stub-2136,5.3
stub-2140,2.56666666666667
stub-2141,1.4
stub-2142,10.7
stub-2152,29.15
stub-2161,22.8666666666667
stub-2163,21.8
stub-2232,29.2
stub-2235,9.86666666666667
stub-2238,7.16666666666667
stub-2239,9.52222222222222
stub-2245,11.9333333333333
stub-2247,15.7545454545455
stub-2254,0.8
stub-2257,3.33333333333333
stub-2274,22.2
stub-2282,25.0666666666667
stub-2283,16.6333333333333
stub-2293,22.5666666666667
stub-2310,26.4
stub-2789,0.541666667
stub-2791,0.84375
stub-289,21.9
stub-320,24.0533333333333
stub-348,20.1333333333333
stub-421,32.7
stub-435,15.6333333333333
stub-440,7.1
stub-444,1.33333333333333
stub-446**stub-792,13.5333333333333
stub-480,3.73333333333333
stub-482,5.2
stub-484,17.6
stub-523,22.0333333333333
stub-525,4.03333333333333
stub-540,10.4333333333333
stub-570,5.93333333333333
stub-572,13.55
stub-574,18.9
stub-575,10
stub-577,13.4333333333333
stub-579,2.11666666666667
stub-586,15.7666666666667
stub-589,3.36666666666667
stub-596,5.2
stub-597,5.7
stub-599,1.1
stub-614,15.7
stub-652,6.13333333333333
stub-658,9.1
stub-671,1.5
stub-675,13.3666666666667
stub-693,16.1666666666667
stub-732,5.44
stub-747,6.43333333333333
stub-766,7.63333333333333
stub-966,17.9666666666667
