Stub,LBlight
1013,1.994047619
1066,31.8412698433333
1072,27.08333333
1074,6.25
1092,7.59920635066667
1104,36.22619048
1108,39.6507936533333
1112,25.96428571
1114,35.08333333
1116,38.3253968266667
1153,24.1547619
1179,2.857142857
1212,37.83333333
1264,2.333333333
1265,35.72619048
1273,19.04761905
1319,8.333333333
1325,0
1328,23.21428571
1370,38.90079365
1424,38.30952381
1817,24.10714286
1819,3.80952381
1851,3.80952381
1869,0.44047619
1872,40.47619048
1875,0.083333333
1913,10
1914,2.095238095
1915,22.79761905
1922,20.17857143
1925,24.76190476
1926,1.904761905
1933,14.04761905
1950,3.80952381
1955,0
1958,31.48809524
1963,32.64285714
1978,19.94047619
1981,35.89285714
1984,18.39285714
1985,0.416666667
1993,39.39285714
1996,6.25
1998,22.86904762
1999,39.39285714
2000,37.48809524
2006,9.166666667
2010,0.19047619
2016,20.5952381
2018,1.904761905
2024,8.095238095
2028,26.91666667
2031,0.380952381
2044,0
2047,3.333333333
2048,0
2049,5.297619048
2052,0
2053,0
2055,0.19047619
2067,0
2069,0.166666667
2074,3.928571429
2075,30.29761905
2077,0.380952381
2081,6.428571429
2083,39.52380952
2084,2.047619048
2098,36.53571429
2137,7.916666667
2141,8.047619046
2143,28.0555555566667
2151,15.32936508
2152,40.28571429
2161,34.3373015866667
2184,37.8769841266667
2191,0.126984127
2232,40.3452380966667
2234,38.46031746
2245,33.214285715
2247,35.3373015866667
2254,6.30952381
2281,31.1071428566667
2286,38.5992063466667
2289,35.2182539666667
2292,30.2777777766667
2297,38.57142857
2310,39.617063495
289,34.82142857
320,31.4047619066667
322,35.1150793633333
327,21.48809524
328,20
330,30.21031746
369,24.41666667
418,25.9722222233333
421,40.23809524
436,19.2460317466667
440,0.0436507936666667
446,34.1150793633333
450,6.904761905
480,0
523,8.15476190433333
574,33.1130952375
577,1.07142857133333
579,0
586,0
596,9.166666667
597,11.6071428583333
613,26.8333333366667
647,18.710317461
652,24.88095238
654,1.158730159
658,0
666,0.964285714333333
671,0.357142857
674,7.32142857033333
675,2.662698413
712,0.357142857
732,0
739,6.25
747,0.380952381
753,37.3174603166667
756,39.6269841266667
761,11.40873016
852,12.97619048
901,39.9047619
958,33.67063492
964,10.7142857116667
968,22.32142857
987,31.16666667
