probIn scale
0.4809625 0.0003236258
0.4928748 0.0003169785
0.5124934 0.0003156422
0.5031609 0.0003116217
0.476379 0.0003174369
0.5009877 0.0003123008
0.5042209 0.0003141282
0.4767977 0.0003147938
0.4628441 0.0003280215
0.4567343 0.0003197571
0.4712328 0.0003002983
0.5018029 0.000304287
0.522478 0.0003034071
0.5308867 0.0003031971
0.5383168 0.0003127764
0.5359121 0.0002974445
0.5249714 0.000309805
0.5004282 0.0003033019
0.4828544 0.0002881603
0.4823315 0.0002975549
0.5185788 0.0002758399
0.5158732 0.0002799232
0.5176808 0.000288474
0.5367567 0.0002928612
0.5324746 0.0002972693
0.5140821 0.0002923616
0.5104501 0.0002941479
0.523845 0.0002879644
0.5162147 0.0002743967
0.5127797 0.0002703417
0.518529 0.0002732772
0.5051004 0.0002585289
0.5279932 0.0002592044
0.5083899 0.0002518478
0.5139155 0.0002557718
0.4960013 0.0002521851
0.5108271 0.0002581054
0.5364063 0.0002619246
0.5256703 0.0002590809
0.5141995 0.00024813
0.5054404 0.0002576114
0.4977451 0.000262881
0.5301771 0.0002591144
0.5438485 0.0002540373
0.5603645 0.0002541277
0.5914059 0.00024994
0.5677146 0.0002512422
0.5526262 0.0002458078
0.538773 0.0002432753
0.5322054 0.0002492205
0.5429382 0.0002539357
0.5510847 0.0002581394
0.5453677 0.0002612979
0.5462502 0.000265429
0.5785192 0.0002579688
0.54255 0.0002635266
0.5447704 0.0002652289
0.5378245 0.0002712115
0.5156613 0.0002720934
0.5181438 0.0002601221
0.4926619 0.0002583213
0.4471298 0.0002503051
0.457963 0.0002480519
0.4866902 0.0002333267
0.481258 0.0002352137
0.5083838 0.0002360245
0.4535514 0.0002402372
0.4151457 0.0002326095
0.4227311 0.0002329894
0.4060074 0.0002279421
0.4280384 0.0002136582
0.4565354 0.0002071762
0.4571949 0.0002064903
0.4427827 0.0002017228
0.4751372 0.0001926427
0.4950952 0.0001943124
0.5433668 0.000190088
0.4947498 0.0001762456
0.5310733 0.0001834308
0.5370094 0.0001855965
0.4921954 0.0001859328
0.4684684 0.0001837886
0.4474736 0.0001801025
0.4692259 0.0001720616
0.4627549 0.0001696188
0.4653583 0.0001728221
0.4356759 0.0001727173
0.3941936 0.0001705892
0.4408067 0.0001805701
0.4521382 0.0001859842
0.5086802 0.0001951207
