probIn scale
0.4482725 0.0003145372
0.4709726 0.0003087416
0.4649458 0.000303959
0.4112294 0.0003076697
0.4134937 0.0003201409
0.3869184 0.000303098
0.3535166 0.0003046835
0.3456978 0.0002976923
0.3236345 0.0002855052
0.3415254 0.0002799433
0.3555651 0.000268298
0.3708418 0.0002835913
0.3663854 0.0002822188
0.3616058 0.0002888917
0.3570236 0.000295846
0.3906515 0.000310334
0.3876031 0.0003084552
0.3658491 0.0002952486
0.3804717 0.0002991726
0.3571321 0.0002898719
0.3561393 0.0002797446
0.3660567 0.0002859074
0.3496144 0.0002754768
0.3405953 0.0002794495
0.3103005 0.0002806964
0.2937678 0.0002725084
0.3392041 0.0002843718
0.3776712 0.0002988902
0.3601849 0.0002970142
0.3439326 0.0002935369
0.3078552 0.0003042852
0.3016581 0.0003022566
0.3147427 0.0003129345
0.309773 0.0003172148
0.3279033 0.0003140563
0.3429182 0.0003256338
0.3723564 0.0003349648
0.3697513 0.000340634
0.3717726 0.0003327591
0.4195508 0.0003271604
0.399472 0.000326228
0.3928802 0.0003297703
0.4116532 0.0003094676
0.4321066 0.0003073806
0.4304549 0.000305824
0.4172812 0.0002985765
0.381813 0.0003060544
0.3962999 0.0003215968
0.3377339 0.0003071964
0.3532287 0.0002950187
0.3751268 0.0002992004
0.3483521 0.000295353
0.3295952 0.000290896
0.3248115 0.0002873355
0.344083 0.0002831239
0.3772678 0.0002678077
0.3725637 0.0002781019
0.3865628 0.0002768388
0.3845883 0.0002814338
0.3911699 0.0002842992
0.4037496 0.0002992333
0.4067014 0.0002922978
0.4060048 0.0003043941
0.4154548 0.0002993266
0.3928964 0.0002981416
0.3799614 0.0002914144
0.3816379 0.0002942587
0.3819964 0.0002817918
0.3364032 0.0002882451
0.3676691 0.0002859038
0.3592769 0.0002881888
0.3675904 0.0002792121
0.3765988 0.0002851255
0.3666181 0.0002828036
0.3894383 0.0002849012
0.3991135 0.000277049
0.4003817 0.0002631437
0.4522104 0.0002624054
0.4536434 0.0002659342
0.4575429 0.0002571977
0.4469383 0.0002511095
0.428957 0.000239501
0.440295 0.0002328325
0.4393202 0.0002303757
0.4596255 0.0002347159
0.4878849 0.0002440854
0.4456946 0.0002600576
0.427841 0.0002544335
0.4643774 0.000256552
0.4766825 0.0002636883
0.4798861 0.0002550363
0.4933277 0.0002486793
0.5298198 0.0002550355
0.5498269 0.0002590796
0.5271784 0.0002491043
0.5343933 0.0002412155
0.5448481 0.0002348989
0.5920695 0.0002248691
0.5901509 0.0002250817
0.5940385 0.0002269647
0.5667931 0.0002413962
0.5753489 0.0002326614
0.5993201 0.0002231702
