probIn scale
0.5038668 9.675496e-05
0.5259518 9.743246e-05
0.5228025 9.860496e-05
0.5063736 0.0001019674
0.4917459 0.0001018637
0.5178489 0.0001015221
0.5048483 0.0001003285
0.4801058 0.0001014562
0.4782053 9.842754e-05
0.4689997 9.958581e-05
0.4606395 9.680523e-05
0.4731282 9.494382e-05
0.478061 9.553064e-05
0.491803 9.655274e-05
0.5007759 9.619627e-05
0.5237514 9.598631e-05
0.5174946 9.665619e-05
0.4900568 9.636699e-05
0.4865246 9.828426e-05
0.4945279 9.799569e-05
0.4958541 9.802626e-05
0.4956771 9.891114e-05
0.4980461 9.691636e-05
0.4861974 9.542318e-05
0.4817125 9.512929e-05
0.4946238 9.673956e-05
0.5116049 9.73331e-05
0.505797 9.909821e-05
0.50926 0.0001001873
0.4877079 0.0001020985
0.4781547 0.0001044254
0.4822908 0.000105677
0.4994768 0.0001070431
0.4993731 0.0001077615
0.5038723 0.000105884
0.5101164 0.0001055977
0.519322 0.0001035969
0.532879 0.0001037312
0.5163212 0.0001028213
0.5348513 0.0001030476
0.5302484 0.0001036156
0.5387523 0.0001045458
0.5315503 0.0001037043
0.5255645 0.0001024242
0.5163189 0.0001011904
0.5132962 0.0001026604
0.5151825 0.0001041678
0.5049116 0.0001030582
0.5018573 0.0001039905
0.5070706 0.0001017574
0.5122904 0.0001025125
0.5079208 0.0001020566
0.5075186 0.0001037992
0.5265837 0.0001058279
0.5324627 0.0001086626
0.5590597 0.0001093077
0.5470523 0.0001100427
0.5559477 0.0001075484
0.554467 0.000106806
0.554257 0.0001072155
0.5584683 0.000106598
0.5507734 0.0001067307
0.5368902 0.000103946
0.5377384 0.0001053923
0.5431809 0.0001026978
0.5404202 0.0001041152
0.5158233 0.000106788
0.5500433 0.0001078114
0.5435823 0.0001076646
0.5335888 0.000105691
0.5287562 0.0001062483
0.5190841 0.0001078286
0.5129723 0.0001084427
0.5083644 0.0001062003
0.4987168 0.0001067282
0.4788237 0.0001078352
0.473091 0.0001053556
0.4741716 0.000103893
0.4600243 0.0001038481
0.4784848 0.0001043072
0.5019981 0.0001042141
0.5004774 0.0001046687
0.510466 0.0001044663
0.5056372 0.0001049946
0.5051151 0.0001077929
0.5008759 0.0001074963
0.5022474 0.0001068274
0.5063169 0.0001078554
0.4869552 0.0001059093
0.4993863 0.0001063458
0.5041353 0.0001079551
0.5155202 0.0001084076
0.5116397 0.000107846
0.494604 0.0001057391
0.5038951 0.0001049928
0.4840594 0.0001051543
0.4771423 0.0001076614
0.4807638 0.000106838
0.4635113 0.000108742
0.4720656 0.0001097407
0.4656131 0.0001105065
0.4866774 0.000111509
0.4740096 0.0001119597
0.4638 0.0001117876
0.460334 0.0001112133
0.447087 0.0001108768
0.4591356 0.0001094616
0.455611 0.00010915
0.4601409 0.0001096808
0.4602673 0.0001098339
0.4803033 0.0001090891
0.478546 0.000107848
0.474976 0.0001076579
0.4725508 0.0001086644
0.4639034 0.0001070146
0.4700027 0.0001052047
0.4748814 0.0001044523
0.4760124 0.0001048442
0.4656262 0.0001064344
0.4684536 0.0001088705
0.4899651 0.0001093053
0.4874238 0.0001090592
0.496413 0.0001128776
0.5166752 0.000112656
0.5176287 0.0001131528
0.5349721 0.0001107729
0.5106969 0.0001119591
0.5164463 0.0001120291
0.5041062 0.0001119108
0.5051103 0.0001090793
0.510252 0.0001061097
0.5082216 0.0001015265
0.5355653 0.0001005879
0.5435895 9.86252e-05
0.5309682 9.75151e-05
0.5130464 9.884308e-05
0.507448 9.656546e-05
0.4990494 9.65711e-05
0.4999378 9.691081e-05
0.4768219 9.668681e-05
0.4860657 9.674313e-05
0.4926481 9.495841e-05
0.5153615 9.557268e-05
0.5054214 9.585296e-05
0.5146865 9.782322e-05
0.5288711 9.780165e-05
0.5286344 9.614059e-05
0.5171091 9.601995e-05
0.5093893 9.618671e-05
0.5300225 9.576632e-05
0.5490867 9.494672e-05
0.5430884 9.486003e-05
0.549463 9.461301e-05
0.5400183 9.400328e-05
0.5193915 9.29626e-05
0.5170135 9.002793e-05
0.5187697 9.093057e-05
0.5307082 9.01781e-05
0.5435886 8.784782e-05
0.5531875 8.58411e-05
0.5553981 8.55647e-05
0.5643251 8.362194e-05
0.5548729 8.41218e-05
0.5733605 8.221664e-05
0.5630816 8.150693e-05
0.5770727 8.291699e-05
0.5654284 8.07789e-05
0.5775547 7.969684e-05
0.5939173 8.146584e-05
0.5964996 8.168346e-05
